datetime;demand
2024-01-02T15:35:00.000+01:00;30565
2024-01-02T15:40:00.000+01:00;30471
2024-01-02T15:45:00.000+01:00;30535
2024-01-02T15:50:00.000+01:00;30504
2024-01-02T15:55:00.000+01:00;30415
2024-01-02T16:00:00.000+01:00;30491
2024-01-02T16:05:00.000+01:00;30548
2024-01-02T16:10:00.000+01:00;30387
2024-01-02T16:15:00.000+01:00;30269
2024-01-02T16:20:00.000+01:00;30452
2024-01-02T16:25:00.000+01:00;30359
2024-01-02T16:30:00.000+01:00;30360
2024-01-02T16:35:00.000+01:00;30454
2024-01-02T16:40:00.000+01:00;30365
2024-01-02T16:45:00.000+01:00;30394
2024-01-02T16:50:00.000+01:00;30665
2024-01-02T16:55:00.000+01:00;30501
2024-01-02T17:00:00.000+01:00;30713
2024-01-02T17:05:00.000+01:00;30595
2024-01-02T17:10:00.000+01:00;30794
2024-01-02T17:15:00.000+01:00;30851
2024-01-02T17:20:00.000+01:00;30965
2024-01-02T17:25:00.000+01:00;30859
2024-01-02T17:30:00.000+01:00;30887
2024-01-02T17:35:00.000+01:00;30981
2024-01-02T17:40:00.000+01:00;31133
2024-01-02T17:45:00.000+01:00;31286
2024-01-02T17:50:00.000+01:00;31669
2024-01-02T17:55:00.000+01:00;31663
2024-01-02T18:00:00.000+01:00;31729
2024-01-02T18:05:00.000+01:00;31896
2024-01-02T18:10:00.000+01:00;32199
2024-01-02T18:15:00.000+01:00;32173
2024-01-02T18:20:00.000+01:00;32439
2024-01-02T18:25:00.000+01:00;32373
2024-01-02T18:30:00.000+01:00;32547
2024-01-02T18:35:00.000+01:00;32639
2024-01-02T18:40:00.000+01:00;32697
2024-01-02T18:45:00.000+01:00;32817
2024-01-02T18:50:00.000+01:00;32879
2024-01-02T18:55:00.000+01:00;32906
2024-01-02T19:00:00.000+01:00;32798
2024-01-02T19:05:00.000+01:00;32832
2024-01-02T19:10:00.000+01:00;32914
2024-01-02T19:15:00.000+01:00;32741
2024-01-02T19:20:00.000+01:00;32705
2024-01-02T19:25:00.000+01:00;32511
2024-01-02T19:30:00.000+01:00;32729
2024-01-02T19:35:00.000+01:00;32752
2024-01-02T19:40:00.000+01:00;32980
2024-01-02T19:45:00.000+01:00;32866
2024-01-02T19:50:00.000+01:00;32885
2024-01-02T19:55:00.000+01:00;33072
2024-01-02T20:00:00.000+01:00;32933
2024-01-02T20:05:00.000+01:00;33053
2024-01-02T20:10:00.000+01:00;33289
2024-01-02T20:15:00.000+01:00;33301
2024-01-02T20:20:00.000+01:00;33191
2024-01-02T20:25:00.000+01:00;33516
2024-01-02T20:30:00.000+01:00;33396
2024-01-02T20:35:00.000+01:00;33528
2024-01-02T20:40:00.000+01:00;33496
2024-01-02T20:45:00.000+01:00;33598
2024-01-02T20:50:00.000+01:00;33787
2024-01-02T20:55:00.000+01:00;33657
2024-01-02T21:00:00.000+01:00;33450
2024-01-02T21:05:00.000+01:00;33652
2024-01-02T21:10:00.000+01:00;33433
2024-01-02T21:15:00.000+01:00;33282
2024-01-02T21:20:00.000+01:00;33228
2024-01-02T21:25:00.000+01:00;33104
2024-01-02T21:30:00.000+01:00;32999
2024-01-02T21:35:00.000+01:00;32666
2024-01-02T21:40:00.000+01:00;32510
2024-01-02T21:45:00.000+01:00;32337
2024-01-02T21:50:00.000+01:00;32132
2024-01-02T21:55:00.000+01:00;31866
2024-01-02T22:00:00.000+01:00;31516
2024-01-02T22:05:00.000+01:00;31016
2024-01-02T22:10:00.000+01:00;30769
2024-01-02T22:15:00.000+01:00;30533
2024-01-02T22:20:00.000+01:00;30201
2024-01-02T22:25:00.000+01:00;30219
2024-01-02T22:30:00.000+01:00;30171
2024-01-02T22:35:00.000+01:00;29727
2024-01-02T22:40:00.000+01:00;29349
2024-01-02T22:45:00.000+01:00;29070
2024-01-02T22:50:00.000+01:00;28960
2024-01-02T22:55:00.000+01:00;28699
2024-01-02T23:00:00.000+01:00;28337
2024-01-02T23:05:00.000+01:00;27989
2024-01-02T23:10:00.000+01:00;27730
2024-01-02T23:15:00.000+01:00;27634
2024-01-02T23:20:00.000+01:00;27384
2024-01-02T23:25:00.000+01:00;27111
2024-01-02T23:30:00.000+01:00;26711
2024-01-02T23:35:00.000+01:00;26628
2024-01-02T23:40:00.000+01:00;26345
2024-01-02T23:45:00.000+01:00;26150
2024-01-02T23:50:00.000+01:00;25766
2024-01-02T23:55:00.000+01:00;25665
2024-01-03T00:00:00.000+01:00;25310
2024-01-03T00:05:00.000+01:00;25379
2024-01-03T00:10:00.000+01:00;25428
2024-01-03T00:15:00.000+01:00;25316
2024-01-03T00:20:00.000+01:00;25225
2024-01-03T00:25:00.000+01:00;25033
2024-01-03T00:30:00.000+01:00;24821
2024-01-03T00:35:00.000+01:00;24589
2024-01-03T00:40:00.000+01:00;24348
2024-01-03T00:45:00.000+01:00;24182
2024-01-03T00:50:00.000+01:00;23996
2024-01-03T00:55:00.000+01:00;23773
2024-01-03T01:00:00.000+01:00;23561
2024-01-03T01:05:00.000+01:00;23528
2024-01-03T01:10:00.000+01:00;23534
2024-01-03T01:15:00.000+01:00;23226
2024-01-03T01:20:00.000+01:00;23134
2024-01-03T01:25:00.000+01:00;23012
2024-01-03T01:30:00.000+01:00;22807
2024-01-03T01:35:00.000+01:00;22550
2024-01-03T01:40:00.000+01:00;22405
2024-01-03T01:45:00.000+01:00;22358
2024-01-03T01:50:00.000+01:00;22340
2024-01-03T01:55:00.000+01:00;22166
2024-01-03T02:00:00.000+01:00;21922
2024-01-03T02:05:00.000+01:00;21991
2024-01-03T02:10:00.000+01:00;21912
2024-01-03T02:15:00.000+01:00;21918
2024-01-03T02:20:00.000+01:00;21932
2024-01-03T02:25:00.000+01:00;21463
2024-01-03T02:30:00.000+01:00;21560
2024-01-03T02:35:00.000+01:00;21544
2024-01-03T02:40:00.000+01:00;21483
2024-01-03T02:45:00.000+01:00;21279
2024-01-03T02:50:00.000+01:00;21371
2024-01-03T02:55:00.000+01:00;21374
2024-01-03T03:00:00.000+01:00;21286
2024-01-03T03:05:00.000+01:00;21160
2024-01-03T03:10:00.000+01:00;21066
2024-01-03T03:15:00.000+01:00;21203
2024-01-03T03:20:00.000+01:00;21239
2024-01-03T03:25:00.000+01:00;21184
2024-01-03T03:30:00.000+01:00;20996
2024-01-03T03:35:00.000+01:00;21052
2024-01-03T03:40:00.000+01:00;21073
2024-01-03T03:45:00.000+01:00;21119
2024-01-03T03:50:00.000+01:00;20955
2024-01-03T03:55:00.000+01:00;20792
2024-01-03T04:00:00.000+01:00;20816
2024-01-03T04:05:00.000+01:00;20848
2024-01-03T04:10:00.000+01:00;20902
2024-01-03T04:15:00.000+01:00;20931
2024-01-03T04:20:00.000+01:00;20994
2024-01-03T04:25:00.000+01:00;20986
2024-01-03T04:30:00.000+01:00;20940
2024-01-03T04:35:00.000+01:00;21013
2024-01-03T04:40:00.000+01:00;20904
2024-01-03T04:45:00.000+01:00;21035
