datetime_utc,demanda,programada,prevista
2018-12-07 00:00:00+0000,27981.409722222223,27988.48611111111,27988.48611111111
2018-12-08 00:00:00+0000,26097.86111111111,26090.319444444445,26090.319444444445
2018-12-09 00:00:00+0000,25397.097222222223,25412.881944444445,25412.881944444445
2018-12-10 00:00:00+0000,30553.729166666668,30593.868055555555,30593.868055555555
2018-12-11 00:00:00+0000,31482.79861111111,31506.25,31506.25
2018-12-12 00:00:00+0000,31828.027777777777,31830.597222222223,31830.597222222223
2018-12-13 00:00:00+0000,32289.152777777777,32303.430555555555,32303.430555555555
2018-12-14 00:00:00+0000,31789.743055555555,31847.833333333332,31847.833333333332
2018-12-15 00:00:00+0000,28410.604166666668,28403.340277777777,28403.340277777777
2018-12-16 00:00:00+0000,26781.86111111111,26723.256944444445,26723.256944444445
2018-12-17 00:00:00+0000,31866.444444444445,31912.79861111111,31912.79861111111
2018-12-18 00:00:00+0000,32805.069444444445,32753.0625,32753.0625
2018-12-19 00:00:00+0000,32152.1875,32172.291666666668,32172.291666666668
2018-12-20 00:00:00+0000,31721.20138888889,31714.756944444445,31714.756944444445
2018-12-21 00:00:00+0000,30539.92361111111,30607.597222222223,30607.597222222223
2018-12-22 00:00:00+0000,27085.04861111111,27119.805555555555,27119.805555555555
2018-12-23 00:00:00+0000,25441.840277777777,25501.715277777777,25501.715277777777
2018-12-24 00:00:00+0000,25428.54861111111,25402.0625,25402.0625
2018-12-25 00:00:00+0000,22321.01388888889,22317.73611111111,22317.73611111111
2018-12-26 00:00:00+0000,26620.51388888889,26599.875,26599.875
2018-12-27 00:00:00+0000,28542.875,28509.833333333332,28509.833333333332
2018-12-28 00:00:00+0000,28646.645833333332,28597.833333333332,28597.833333333332
2018-12-29 00:00:00+0000,26600.04861111111,26580.645833333332,26580.645833333332
2018-12-30 00:00:00+0000,25231.493055555555,25247.25,25247.25
2018-12-31 00:00:00+0000,25967.340579710144,25966.644927536232,25966.644927536232
2018-12-31 00:00:00+0000,23459.0,23470.0,23470.0
2019-01-01 00:00:00+0000,23083.583333333332,23062.395833333332,23062.395833333332
2019-01-02 00:00:00+0000,29587.32638888889,29600.555555555555,29600.555555555555
2019-01-03 00:00:00+0000,31287.3125,31321.465277777777,31321.465277777777
2019-01-04 00:00:00+0000,31500.98611111111,31490.243055555555,31490.243055555555
2019-01-05 00:00:00+0000,28435.444444444445,28394.20138888889,28394.20138888889
2019-01-06 00:00:00+0000,26137.430555555555,26167.243055555555,26167.243055555555
2019-01-07 00:00:00+0000,30404.347222222223,30318.694444444445,30318.694444444445
2019-01-08 00:00:00+0000,33604.78472222222,33551.15277777778,33551.15277777778
2019-01-09 00:00:00+0000,33613.083333333336,33637.03472222222,33637.03472222222
2019-01-10 00:00:00+0000,34053.819444444445,34045.32638888889,34045.32638888889
2019-01-11 00:00:00+0000,34446.305555555555,34458.131944444445,34458.131944444445
2019-01-12 00:00:00+0000,30544.833333333332,30526.145833333332,30526.145833333332
2019-01-13 00:00:00+0000,28633.25,28640.17361111111,28640.17361111111
2019-01-14 00:00:00+0000,33250.75,33268.291666666664,33268.291666666664
2019-01-15 00:00:00+0000,33585.04861111111,33607.875,33607.875
2019-01-16 00:00:00+0000,33702.3125,33755.47222222222,33755.47222222222
2019-01-17 00:00:00+0000,33819.743055555555,33864.02777777778,33864.02777777778
2019-01-18 00:00:00+0000,33784.59027777778,33824.305555555555,33824.305555555555
2019-01-19 00:00:00+0000,30411.590277777777,30429.631944444445,30429.631944444445
2019-01-20 00:00:00+0000,28017.708333333332,28032.368055555555,28032.368055555555
2019-01-21 00:00:00+0000,33164.86111111111,33153.006944444445,33153.006944444445
2019-01-22 00:00:00+0000,34490.67361111111,34482.23611111111,34482.23611111111
2019-01-23 00:00:00+0000,34054.458333333336,34081.208333333336,34081.208333333336
2019-01-24 00:00:00+0000,33370.708333333336,33353.72222222222,33353.72222222222
2019-01-25 00:00:00+0000,32418.375,32459.11111111111,32459.11111111111
2019-01-26 00:00:00+0000,28623.95138888889,28678.5,28678.5
2019-01-27 00:00:00+0000,26982.645833333332,26973.381944444445,26973.381944444445
2019-01-28 00:00:00+0000,32256.305555555555,32324.645833333332,32324.645833333332
2019-01-29 00:00:00+0000,32991.76388888889,32998.194444444445,32998.194444444445
